episode,mask,o,c,e,a,n,norm
41,mask_home,-0.01012,-0.23108,0.31917,0.08337,-0.07094,0.40909
41,mask_conference,0.37205,0.48664,0.24408,-0.17844,-0.29106,0.74254
42,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
42,mask_work,-0.01577,0.50000,-0.50000,-0.21304,0.02681,0.73916
42,mask_home,-0.00924,-0.23405,0.32725,0.08478,-0.07369,0.41782
42,mask_conference,0.38059,0.49772,0.24989,-0.17999,-0.29668,0.75858
43,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
43,mask_work,-0.01549,0.50000,-0.50000,-0.21750,0.02768,0.74048
43,mask_home,-0.01073,-0.23616,0.33341,0.08874,-0.07438,0.42480
43,mask_conference,0.38994,0.49977,0.25664,-0.18336,-0.30296,0.77013
44,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
44,mask_work,-0.01421,0.50000,-0.50000,-0.22196,0.02864,0.74182
44,mask_home,-0.01082,-0.23841,0.34109,0.09164,-0.07636,0.43304
44,mask_conference,0.39812,0.50000,0.26246,-0.18519,-0.30846,0.77899
45,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
45,mask_work,-0.01417,0.50000,-0.50000,-0.22657,0.02969,0.74325
45,mask_home,-0.01109,-0.24351,0.34869,0.09429,-0.07804,0.44270
45,mask_conference,0.40632,0.50000,0.26855,-0.18677,-0.31402,0.78785
46,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
46,mask_work,-0.01468,0.50000,-0.50000,-0.23106,0.03065,0.74468
46,mask_home,-0.01096,-0.24896,0.35615,0.09627,-0.07993,0.45233
46,mask_conference,0.41576,0.49994,0.27496,-0.18966,-0.32018,0.79805
47,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
47,mask_work,-0.01381,0.50000,-0.50000,-0.23542,0.03167,0.74607
47,mask_home,-0.01187,-0.25265,0.36299,0.09970,-0.08105,0.46069
47,mask_conference,0.42452,0.50000,0.28233,-0.19111,-0.32631,0.80804
48,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
48,mask_work,-0.01435,0.50000,-0.50000,-0.23982,0.03270,0.74752
