update,episode,circumstance,mask,partner,style,outcome,chosen_regret,o,c,e,a,n,step_o,step_c,step_e,step_a,step_n
132,5,conference,mask_conference,bob,joke_deflect,rejected,-0.6273,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
133,5,conference,mask_conference,carol,drop_everything,rejected,-2.3841,0.00000,0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
134,5,conference,mask_conference,dave,teach,rejected,-3.1176,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,-0.000000,0.000000,-0.000000,0.000000
135,5,conference,mask_conference,bob,drop_everything,rejected,-1.0052,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
136,6,work,mask_work,carol,quick_tip,rejected,-0.6287,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
137,6,work,mask_work,dave,teach,rejected,-0.6176,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
138,6,work,mask_work,bob,pair_up,rejected,-0.4386,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
139,6,work,mask_work,carol,joke_deflect,rejected,-0.7412,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
140,6,work,mask_work,dave,joke_deflect,rejected,-0.4916,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
141,6,work,mask_work,bob,drop_everything,rejected,-0.5106,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
142,6,work,mask_work,carol,joke_deflect,rejected,-0.7412,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
143,6,work,mask_work,dave,teach,tolerated,1.5364,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
144,6,work,mask_work,bob,joke_deflect,rejected,-0.3066,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
145,6,home,mask_home,carol,pair_up,accepted,1.7452,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
146,6,home,mask_home,dave,pair_up,accepted,1.3872,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
147,6,home,mask_home,bob,quick_tip,rejected,-0.8673,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
148,6,home,mask_home,carol,quick_tip,tolerated,-0.5988,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
149,6,home,mask_home,dave,joke_deflect,accepted,1.5192,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
150,6,home,mask_home,bob,quick_tip,tolerated,1.3672,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
151,6,home,mask_home,carol,drop_everything,accepted,1.6732,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
152,6,home,mask_home,dave,pair_up,accepted,1.3872,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
