episode,agent,context,formal,casual,enthusiastic,quiet,entropy
12000,alice,default,0.0589,0.5445,0.3578,0.0387,0.7153
12000,bob,work,0.4344,0.0002,0.0002,0.5652,0.4965
12000,bob,home,0.5508,0.0009,0.0004,0.4479,0.5033
12000,bob,concert,0.4650,0.0006,0.0004,0.5340,0.5040
12000,bob,default,0.4956,0.0091,0.0058,0.4895,0.5554
12000,carol,work,0.0005,0.8807,0.1184,0.0004,0.2680
12000,carol,home,0.0004,0.7020,0.2973,0.0003,0.4432
12000,carol,concert,0.0003,0.5111,0.4883,0.0003,0.5036
12000,carol,default,0.0060,0.5499,0.4388,0.0054,0.5403
12000,dave,work,0.0004,0.0473,0.9519,0.0004,0.1424
12000,dave,home,0.0003,0.0470,0.9524,0.0003,0.1408
12000,dave,concert,0.0003,0.0271,0.9723,0.0003,0.0937
12000,dave,default,0.0055,0.4304,0.5589,0.0052,0.5366
12500,alice,work,0.4102,0.3970,0.0076,0.1852,0.7802
12500,alice,home,0.0222,0.9456,0.0314,0.0008,0.1816
12500,alice,concert,0.1606,0.7947,0.0331,0.0117,0.4625
12500,alice,default,0.0585,0.5482,0.3554,0.0379,0.7121
12500,bob,work,0.4296,0.0002,0.0002,0.5699,0.4955
12500,bob,home,0.5509,0.0008,0.0004,0.4479,0.5030
12500,bob,concert,0.4646,0.0005,0.0004,0.5345,0.5037
12500,bob,default,0.4956,0.0087,0.0055,0.4901,0.5536
12500,carol,work,0.0005,0.8824,0.1167,0.0004,0.2653
12500,carol,home,0.0004,0.7026,0.2968,0.0003,0.4427
12500,carol,concert,0.0003,0.5108,0.4886,0.0003,0.5035
12500,carol,default,0.0057,0.5512,0.4379,0.0052,0.5386
12500,dave,work,0.0004,0.0453,0.9540,0.0004,0.1378
12500,dave,home,0.0003,0.0452,0.9542,0.0003,0.1367
12500,dave,concert,0.0003,0.0260,0.9734,0.0003,0.0908
12500,dave,default,0.0053,0.4264,0.5633,0.0049,0.5343
13000,alice,work,0.4139,0.3972,0.0073,0.1815,0.7774
13000,alice,home,0.0222,0.9469,0.0302,0.0008,0.1783
13000,alice,concert,0.1610,0.7962,0.0316,0.0112,0.4580
13000,alice,default,0.0581,0.5519,0.3530,0.0370,0.7091
13000,bob,work,0.4260,0.0002,0.0002,0.5736,0.4947
13000,bob,home,0.5509,0.0008,0.0004,0.4479,0.5028
13000,bob,concert,0.4641,0.0005,0.0004,0.5350,0.5035
13000,bob,default,0.4956,0.0084,0.0053,0.4907,0.5520
13000,carol,work,0.0005,0.8837,0.1155,0.0004,0.2633
13000,carol,home,0.0003,0.7031,0.2962,0.0003,0.4422
13000,carol,concert,0.0003,0.5105,0.4889,0.0003,0.5034
13000,carol,default,0.0055,0.5525,0.4370,0.0050,0.5371
13000,dave,work,0.0004,0.0438,0.9554,0.0003,0.1345
13000,dave,home,0.0003,0.0434,0.9560,0.0003,0.1326
13000,dave,concert,0.0003,0.0249,0.9746,0.0003,0.0876
13000,dave,default,0.0051,0.4224,0.5677,0.0048,0.5322
13500,alice,work,0.4190,0.3975,0.0070,0.1765,0.7735
13500,alice,home,0.0221,0.9480,0.0291,0.0007,0.1754
