episode,agent,context,formal,casual,enthusiastic,quiet,entropy
7000,dave,default,0.0034,0.9233,0.0698,0.0034,0.2153
7500,alice,work,0.9971,0.0021,0.0006,0.0002,0.0160
7500,alice,home,0.0002,0.9992,0.0004,0.0002,0.0055
7500,alice,concert,0.0002,0.0003,0.9993,0.0002,0.0049
7500,alice,default,0.0038,0.9414,0.0509,0.0038,0.1812
7500,bob,work,0.9987,0.0008,0.0002,0.0002,0.0077
7500,bob,home,0.0003,0.9977,0.0002,0.0019,0.0128
7500,bob,concert,0.0002,0.0005,0.9991,0.0002,0.0057
7500,bob,default,0.0035,0.9462,0.0468,0.0035,0.1698
7500,carol,work,0.9945,0.0051,0.0002,0.0002,0.0260
7500,carol,home,0.0002,0.9986,0.0010,0.0002,0.0085
7500,carol,concert,0.0002,0.0006,0.9990,0.0002,0.0064
7500,carol,default,0.0029,0.9316,0.0625,0.0029,0.1974
7500,dave,work,0.9951,0.0045,0.0002,0.0002,0.0236
7500,dave,home,0.0002,0.9985,0.0010,0.0002,0.0087
7500,dave,concert,0.0002,0.0006,0.9990,0.0002,0.0065
7500,dave,default,0.0032,0.9291,0.0645,0.0032,0.2031
8000,alice,work,0.9973,0.0020,0.0006,0.0002,0.0150
8000,alice,home,0.0002,0.9992,0.0004,0.0002,0.0053
8000,alice,concert,0.0002,0.0003,0.9993,0.0002,0.0046
8000,alice,default,0.0036,0.9448,0.0480,0.0036,0.1732
8000,bob,work,0.9988,0.0008,0.0002,0.0002,0.0073
8000,bob,home,0.0002,0.9978,0.0002,0.0017,0.0121
8000,bob,concert,0.0002,0.0005,0.9992,0.0002,0.0054
8000,bob,default,0.0032,0.9504,0.0432,0.0032,0.1596
8000,carol,work,0.9948,0.0048,0.0002,0.0002,0.0245
8000,carol,home,0.0002,0.9987,0.0009,0.0002,0.0080
8000,carol,concert,0.0002,0.0006,0.9991,0.0002,0.0061
8000,carol,default,0.0028,0.9347,0.0597,0.0028,0.1908
8000,dave,work,0.9954,0.0042,0.0002,0.0002,0.0223
8000,dave,home,0.0002,0.9986,0.0010,0.0002,0.0083
8000,dave,concert,0.0002,0.0006,0.9991,0.0002,0.0061
8000,dave,default,0.0029,0.9341,0.0600,0.0029,0.1924
8500,alice,work,0.9974,0.0019,0.0005,0.0002,0.0144
8500,alice,home,0.0002,0.9993,0.0004,0.0002,0.0050
8500,alice,concert,0.0002,0.0003,0.9994,0.0002,0.0043
8500,alice,default,0.0033,0.9499,0.0435,0.0033,0.1608
8500,bob,work,0.9989,0.0007,0.0002,0.0002,0.0069
8500,bob,home,0.0002,0.9979,0.0002,0.0016,0.0116
8500,bob,concert,0.0002,0.0004,0.9992,0.0002,0.0051
8500,bob,default,0.0030,0.9539,0.0400,0.0030,0.1506
8500,carol,work,0.9952,0.0045,0.0002,0.0002,0.0231
8500,carol,home,0.0002,0.9988,0.0009,0.0002,0.0076
8500,carol,concert,0.0002,0.0005,0.9991,0.0002,0.0057
8500,carol,default,0.0027,0.9381,0.0566,0.0027,0.1832
8500,dave,work,0.9957,0.0039,0.0002,0.0002,0.0211
8500,dave,home,0.0002,0.9987,0.0009,0.0002,0.0078
8500,dave,concert,0.0002,0.0005,0.9991,0.0002,0.0058
8500,dave,default,0.0029,0.9357,0.0586,0.0029,0.1891
9000,alice,work,0.9976,0.0017,0.0005,0.0002,0.0135
9000,alice,home,0.0002,0.9993,0.0004,0.0002,0.0047
9000,alice,concert,0.0002,0.0003,0.9994,0.0002,0.0041
9000,alice,default,0.0031,0.9530,0.0409,0.0031,0.1531
9000,bob,work,0.9990,0.0007,0.0002,0.0002,0.0065
9000,bob,home,0.0002,0.9980,0.0002,0.0016,0.0111
9000,bob,concert,0.0002,0.0004,0.9993,0.0002,0.0049
9000,bob,default,0.0029,0.9556,0.0386,0.0029,0.1465
9000,carol,work,0.9954,0.0042,0.0002,0.0002,0.0220
9000,carol,home,0.0002,0.9988,0.0008,0.0002,0.0072
9000,carol,concert,0.0002,0.0005,0.9992,0.0002,0.0055
9000,carol,default,0.0025,0.9418,0.0532,0.0025,0.1748
9000,dave,work,0.9959,0.0037,0.0002,0.0002,0.0201
9000,dave,home,0.0002,0.9988,0.0009,0.0002,0.0074
9000,dave,concert,0.0002,0.0005,0.9991,0.0002,0.0055
9000,dave,default,0.0027,0.9398,0.0548,0.0027,0.1799
9500,alice,work,0.9977,0.0016,0.0005,0.0002,0.0129
9500,alice,home,0.0002,0.9993,0.0003,0.0002,0.0045
9500,alice,concert,0.0002,0.0003,0.9994,0.0002,0.0039
9500,alice,default,0.0030,0.9541,0.0399,0.0030,0.1502
9500,bob,work,0.9990,0.0006,0.0002,0.0002,0.0062
9500,bob,home,0.0002,0.9981,0.0002,0.0015,0.0106
9500,bob,concert,0.0002,0.0004,0.9993,0.0002,0.0047
9500,bob,default,0.0028,0.9570,0.0373,0.0028,0.1427
9500,carol,work,0.9957,0.0040,0.0002,0.0002,0.0210
9500,carol,home,0.0002,0.9989,0.0008,0.0002,0.0069
9500,carol,concert,0.0002,0.0005,0.9992,0.0002,0.0053
9500,carol,default,0.0024,0.9451,0.0501,0.0024,0.1673
9500,dave,work,0.9962,0.0035,0.0002,0.0002,0.0192
9500,dave,home,0.0002,0.9989,0.0008,0.0002,0.0071
9500,dave,concert,0.0002,0.0005,0.9992,0.0002,0.0053
9500,dave,default,0.0025,0.9451,0.0500,0.0025,0.1678
10000,alice,work,0.9979,0.0015,0.0005,0.0002,0.0122
10000,alice,home,0.0002,0.9994,0.0003,0.0002,0.0043
10000,alice,concert,0.0002,0.0002,0.9995,0.0002,0.0038
10000,alice,default,0.0029,0.9552,0.0389,0.0029,0.1475
10000,bob,work,0.9991,0.0006,0.0002,0.0002,0.0059
10000,bob,home,0.0002,0.9982,0.0002,0.0014,0.0102
10000,bob,concert,0.0001,0.0004,0.9993,0.0001,0.0045
10000,bob,default,0.0027,0.9589,0.0357,0.0027,0.1379
10000,carol,work,0.9959,0.0038,0.0001,0.0001,0.0201
10000,carol,home,0.0002,0.9989,0.0007,0.0002,0.0066
10000,carol,concert,0.0002,0.0005,0.9992,0.0002,0.0051
10000,carol,default,0.0022,0.9485,0.0470,0.0022,0.1594
10000,dave,work,0.9964,0.0033,0.0002,0.0002,0.0182
10000,dave,home,0.0002,0.9989,0.0008,0.0002,0.0067
10000,dave,concert,0.0002,0.0005,0.9992,0.0002,0.0050
10000,dave,default,0.0023,0.9486,0.0468,0.0023,0.1595
10500,alice,work,0.9979,0.0015,0.0004,0.0001,0.0118
10500,alice,home,0.0001,0.9994,0.0003,0.0001,0.0041
10500,alice,concert,0.0001,0.0002,0.9995,0.0001,0.0036
10500,alice,default,0.0028,0.9577,0.0368,0.0028,0.1411
10500,bob,work,0.9991,0.0006,0.0001,0.0001,0.0057
10500,bob,home,0.0002,0.9983,0.0001,0.0014,0.0098
10500,bob,concert,0.0001,0.0004,0.9994,0.0001,0.0043
10500,bob,default,0.0025,0.9618,0.0332,0.0025,0.1302
10500,carol,work,0.9961,0.0036,0.0001,0.0001,0.0193
10500,carol,home,0.0001,0.9990,0.0007,0.0001,0.0063
10500,carol,concert,0.0001,0.0004,0.9993,0.0001,0.0048
10500,carol,default,0.0021,0.9503,0.0454,0.0021,0.1552
10500,dave,work,0.9965,0.0032,0.0001,0.0001,0.0176
10500,dave,home,0.0001,0.9990,0.0007,0.0001,0.0064
10500,dave,concert,0.0001,0.0004,0.9993,0.0001,0.0048
10500,dave,default,0.0022,0.9505,0.0451,0.0022,0.1552
11000,alice,work,0.9980,0.0014,0.0004,0.0001,0.0113
11000,alice,home,0.0001,0.9994,0.0003,0.0001,0.0039
11000,alice,concert,0.0001,0.0002,0.9995,0.0001,0.0034
11000,alice,default,0.0027,0.9590,0.0356,0.0027,0.1375
11000,bob,work,0.9992,0.0006,0.0001,0.0001,0.0054
11000,bob,home,0.0002,0.9984,0.0001,0.0013,0.0094
11000,bob,concert,0.0001,0.0003,0.9994,0.0001,0.0041
11000,bob,default,0.0023,0.9643,0.0311,0.0023,0.1235
11000,carol,work,0.9963,0.0035,0.0001,0.0001,0.0185
11000,carol,home,0.0001,0.9990,0.0007,0.0001,0.0061
11000,carol,concert,0.0001,0.0004,0.9993,0.0001,0.0046
11000,carol,default,0.0021,0.9519,0.0439,0.0021,0.1513
11000,dave,work,0.9967,0.0030,0.0001,0.0001,0.0168
11000,dave,home,0.0001,0.9990,0.0007,0.0001,0.0062
11000,dave,concert,0.0001,0.0004,0.9993,0.0001,0.0046
11000,dave,default,0.0021,0.9530,0.0428,0.0021,0.1492
11500,alice,work,0.9981,0.0013,0.0004,0.0001,0.0108
11500,alice,home,0.0001,0.9995,0.0003,0.0001,0.0037
