episode,mask,o,c,e,a,n,norm
98,mask_rested,-0.34927,0.24948,-0.39916,-0.44906,-0.49895,0.89116
99,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
99,mask_depleted,-0.04999,0.44988,-0.49987,-0.34991,-0.49987,0.90943
99,mask_rested,-0.34933,0.24952,-0.39923,-0.44913,-0.49904,0.89131
100,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
100,mask_depleted,-0.04999,0.44989,-0.49988,-0.34992,-0.49988,0.90945
100,mask_rested,-0.34938,0.24956,-0.39929,-0.44920,-0.49912,0.89145
101,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
101,mask_depleted,-0.04999,0.44990,-0.49989,-0.34992,-0.49989,0.90947
101,mask_rested,-0.34943,0.24959,-0.39935,-0.44927,-0.49919,0.89157
102,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
102,mask_depleted,-0.04999,0.44991,-0.49990,-0.34993,-0.49990,0.90949
102,mask_rested,-0.34948,0.24963,-0.39940,-0.44933,-0.49925,0.89169
103,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
103,mask_depleted,-0.04999,0.44992,-0.49991,-0.34993,-0.49991,0.90950
103,mask_rested,-0.34952,0.24966,-0.39945,-0.44938,-0.49931,0.89180
104,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
104,mask_depleted,-0.04999,0.44992,-0.49991,-0.34994,-0.49991,0.90951
104,mask_rested,-0.34956,0.24968,-0.39949,-0.44943,-0.49937,0.89190
105,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
105,mask_depleted,-0.04999,0.44993,-0.49992,-0.34994,-0.49992,0.90953
105,mask_rested,-0.34959,0.24971,-0.39953,-0.44948,-0.49942,0.89199
106,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
106,mask_depleted,-0.04999,0.44993,-0.49993,-0.34995,-0.49993,0.90954
106,mask_rested,-0.34962,0.24973,-0.39957,-0.44952,-0.49946,0.89207
107,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
107,mask_depleted,-0.04999,0.44994,-0.49993,-0.34995,-0.49993,0.90955
107,mask_rested,-0.34965,0.24975,-0.39961,-0.44956,-0.49951,0.89215
108,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
108,mask_depleted,-0.04999,0.44994,-0.49994,-0.34996,-0.49994,0.90956
108,mask_rested,-0.34968,0.24977,-0.39964,-0.44959,-0.49955,0.89222
109,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
109,mask_depleted,-0.04999,0.44995,-0.49994,-0.34996,-0.49994,0.90957
109,mask_rested,-0.34971,0.24979,-0.39967,-0.44962,-0.49958,0.89228
110,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
110,mask_depleted,-0.04999,0.44995,-0.49995,-0.34996,-0.49995,0.90958
110,mask_rested,-0.34973,0.24981,-0.39969,-0.44965,-0.49962,0.89234
111,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
111,mask_depleted,-0.05000,0.44996,-0.49995,-0.34997,-0.49995,0.90958
111,mask_rested,-0.34975,0.24982,-0.39972,-0.44968,-0.49965,0.89240
112,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
112,mask_depleted,-0.05000,0.44996,-0.49996,-0.34997,-0.49996,0.90959
112,mask_rested,-0.34977,0.24984,-0.39974,-0.44971,-0.49967,0.89245
113,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
113,mask_depleted,-0.05000,0.44996,-0.49996,-0.34997,-0.49996,0.90960
113,mask_rested,-0.34979,0.24985,-0.39976,-0.44973,-0.49970,0.89249
114,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114,mask_depleted,-0.05000,0.44997,-0.49996,-0.34997,-0.49996,0.90960
114,mask_rested,-0.34981,0.24986,-0.39978,-0.44975,-0.49972,0.89254
115,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
115,mask_depleted,-0.05000,0.44997,-0.49997,-0.34998,-0.49997,0.90961
115,mask_rested,-0.34982,0.24987,-0.39980,-0.44977,-0.49975,0.89258
116,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
116,mask_depleted,-0.05000,0.44997,-0.49997,-0.34998,-0.49997,0.90961
116,mask_rested,-0.34984,0.24988,-0.39981,-0.44979,-0.49977,0.89261
117,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
117,mask_depleted,-0.05000,0.44997,-0.49997,-0.34998,-0.49997,0.90962
117,mask_rested,-0.34985,0.24989,-0.39983,-0.44981,-0.49979,0.89265
118,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
118,mask_depleted,-0.05000,0.44998,-0.49997,-0.34998,-0.49997,0.90962
118,mask_rested,-0.34986,0.24990,-0.39984,-0.44982,-0.49980,0.89268
119,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
119,mask_depleted,-0.05000,0.44998,-0.49998,-0.34998,-0.49998,0.90963
119,mask_rested,-0.34987,0.24991,-0.39985,-0.44984,-0.49982,0.89270
120,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
120,mask_depleted,-0.05000,0.44998,-0.49998,-0.34998,-0.49998,0.90963
120,mask_rested,-0.34988,0.24992,-0.39987,-0.44985,-0.49983,0.89273
