episode,mask,o,c,e,a,n,norm
50,mask_conference,0.35966,0.51103,0.40791,-0.12605,0.21080,0.78563
51,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
51,mask_work,0.03474,0.59392,-0.04158,-0.48607,0.39391,0.86436
51,mask_home,0.23857,0.39899,0.41159,-0.18527,0.24823,0.69387
51,mask_conference,0.36073,0.51131,0.40892,-0.12557,0.21078,0.78675
52,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
52,mask_work,0.03665,0.59298,-0.04145,-0.48641,0.39442,0.86421
52,mask_home,0.23720,0.39783,0.40953,-0.18697,0.24968,0.69249
52,mask_conference,0.36165,0.51163,0.40975,-0.12517,0.21080,0.78775
53,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
53,mask_work,0.03849,0.59200,-0.04137,-0.48676,0.39493,0.86404
53,mask_home,0.23602,0.39659,0.40768,-0.18857,0.25097,0.69119
53,mask_conference,0.36240,0.51181,0.41050,-0.12489,0.21086,0.78857
54,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
54,mask_work,0.04020,0.59103,-0.04132,-0.48711,0.39541,0.86387
54,mask_home,0.23483,0.39532,0.40584,-0.19014,0.25224,0.68986
54,mask_conference,0.36313,0.51193,0.41125,-0.12460,0.21088,0.78934
55,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
55,mask_work,0.04183,0.59010,-0.04131,-0.48740,0.39585,0.86367
55,mask_home,0.23368,0.39406,0.40407,-0.19164,0.25345,0.68856
55,mask_conference,0.36364,0.51208,0.41179,-0.12445,0.21098,0.78995
56,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
56,mask_work,0.04335,0.58914,-0.04134,-0.48770,0.39629,0.86346
56,mask_home,0.23258,0.39283,0.40239,-0.19304,0.25459,0.68732
56,mask_conference,0.36410,0.51222,0.41228,-0.12430,0.21108,0.79052
57,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
57,mask_work,0.04477,0.58816,-0.04138,-0.48801,0.39672,0.86325
57,mask_home,0.23148,0.39167,0.40073,-0.19444,0.25571,0.68612
57,mask_conference,0.36455,0.51231,0.41279,-0.12415,0.21115,0.79104
58,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
58,mask_work,0.04609,0.58718,-0.04145,-0.48832,0.39714,0.86301
58,mask_home,0.23036,0.39054,0.39905,-0.19590,0.25678,0.68494
58,mask_conference,0.36498,0.51242,0.41322,-0.12403,0.21122,0.79153
59,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
59,mask_work,0.04734,0.58616,-0.04154,-0.48865,0.39756,0.86278
59,mask_home,0.22925,0.38953,0.39740,-0.19732,0.25782,0.68383
59,mask_conference,0.36530,0.51257,0.41356,-0.12392,0.21132,0.79197
60,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
60,mask_work,0.04849,0.58516,-0.04169,-0.48898,0.39796,0.86254
60,mask_home,0.22830,0.38845,0.39592,-0.19869,0.25874,0.68278
60,mask_conference,0.36563,0.51273,0.41394,-0.12376,0.21139,0.79242
61,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
61,mask_work,0.04955,0.58417,-0.04189,-0.48933,0.39837,0.86232
61,mask_home,0.22742,0.38747,0.39455,-0.20000,0.25958,0.68184
61,mask_conference,0.36603,0.51273,0.41439,-0.12361,0.21139,0.79282
62,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
62,mask_work,0.05056,0.58312,-0.04214,-0.48969,0.39878,0.86208
62,mask_home,0.22660,0.38656,0.39322,-0.20134,0.26034,0.68097
62,mask_conference,0.36646,0.51276,0.41494,-0.12335,0.21136,0.79327
63,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
63,mask_work,0.05153,0.58213,-0.04238,-0.49003,0.39916,0.86185
63,mask_home,0.22587,0.38564,0.39201,-0.20261,0.26104,0.68014
63,mask_conference,0.36676,0.51279,0.41532,-0.12321,0.21138,0.79361
64,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
64,mask_work,0.05248,0.58119,-0.04261,-0.49034,0.39953,0.86163
64,mask_home,0.22521,0.38467,0.39090,-0.20378,0.26168,0.67933
64,mask_conference,0.36703,0.51282,0.41566,-0.12309,0.21139,0.79392
65,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
65,mask_work,0.05343,0.58028,-0.04285,-0.49064,0.39988,0.86142
65,mask_home,0.22464,0.38381,0.38990,-0.20488,0.26224,0.67863
65,mask_conference,0.36730,0.51275,0.41597,-0.12304,0.21140,0.79416
66,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
